score,Pr1,Pr2,Pr3,Pr4,Mi1,Mi2,Mi3,Mi4,Mi5,Mi6,Mi7,Po1,Po2,Po3,Po4,Po5,Po6,Po7,Po8,Po9,Po10
92,4,2,3,3,2,15,15,5,6,16,4,3,3,2,2,5,5,2,3,9,5
88,,,,,2,13,8,4,5,18,3,3,3,3,2,6,6,3,3,9,5
92,3,2,1,3,2,13,15,5,6,21,4,3,3,3,2,1,1,2,3,9,5
96,2,2,1,2,1,15,11,4,6,14,5,1,2,1,1,5,6,4,3,11,5
96,4,3,3,2,2,12,9,5,6,17,5,2,3,2,2,4,5,5,4,5,5
92,2,2,2,3,3,14,13,5,6,15,5,2,3,2,2,5,4,3,4,9,5
92,4,3,2,3,3,13,13,5,4,25,5,3,3,2,3,6,2,2,3,9,5
90,,,,,2,11,12,5,6,14,4,2,3,2,1,3,6,2,4,9,5
92,4,1,2,3,2,11,13,5,4,21,4,2,2,2,2,5,6,1,4,9,5
92,3,1,3,3,3,12,11,5,6,19,5,,,,,,,,,,
94,4,1,3,3,3,11,13,4,6,15,5,2,3,3,2,7,6,4,3,9,5
94,5,3,2,3,3,15,15,5,4,17,4,3,3,3,2,6,6,4,4,9,5
88,3,2,2,3,2,14,13,5,6,19,3,3,3,2,2,4,6,4,4,4,3
91,3,1,2,3,2,12,13,5,6,18,3,3,3,2,3,7,6,5,3,9,5
92,4,1,2,3,3,15,9,5,5,16,4,2,3,3,2,6,6,2,1,9,3
87,5,1,2,3,3,21,12,5,6,34,4,,,,,,,,,,
94,4,2,2,2,2,13,10,5,6,15,5,2,3,2,2,7,6,5,3,9,5
87,3,2,1,2,2,6,10,5,1,6,3,3,1,1,2,1,1,1,3,5,3
90,3,3,2,1,1,13,15,4,4,21,3,3,2,2,2,4,6,2,3,9,5
91,,,,,2,10,9,4,3,12,3,2,2,2,2,3,6,2,2,9,3
89,3,3,2,2,2,15,13,4,4,15,3,3,2,2,2,4,5,3,2,9,3
90,3,1,1,2,2,15,11,4,6,17,5,1,1,1,2,6,4,2,1,9,5
91,5,2,3,2,3,14,13,4,6,19,5,2,3,3,2,3,5,3,1,9,5
91,4,3,3,2,1,16,15,4,6,12,4,2,2,2,3,5,5,5,2,15,3
89,6,3,3,3,3,10,13,5,6,16,5,3,2,3,3,5,5,5,3,9,5
91,2,3,1,2,3,13,15,4,6,17,4,2,2,3,2,4,6,2,3,9,5
92,4,2,2,2,3,12,13,5,5,16,2,1,2,3,2,4,6,2,3,9,5
87,6,2,1,1,2,9,12,5,3,14,2,3,3,3,3,7,6,5,3,9,5
90,4,3,2,3,2,15,13,4,5,16,4,3,3,2,2,5,6,3,3,9,5
91,,,,,2,15,11,5,4,21,4,2,3,3,2,7,6,5,3,9,5
90,,,,,2,13,13,5,6,18,5,3,3,2,2,3,3,3,2,8,4
94,3,1,2,3,3,15,13,5,4,16,5,3,3,2,2,7,6,1,4,12,5
91,3,2,2,2,2,15,12,5,6,12,5,2,3,2,2,1,6,3,3,12,2
92,6,3,3,3,3,9,11,5,6,15,5,3,3,2,3,7,5,5,4,9,5
92,3,1,2,2,3,15,14,5,5,19,4,3,3,3,2,3,5,4,4,12,5
94,5,3,2,3,3,11,11,5,4,27,5,3,3,3,3,4,4,3,4,4,5
90,2,2,1,2,2,13,13,5,4,18,4,3,3,2,2,4,5,2,4,11,5
92,3,1,2,3,3,16,13,5,6,17,5,,,,,,,,,,
90,4,1,2,3,2,14,13,5,6,13,5,2,3,2,2,7,5,3,3,9,5
85,2,1,2,3,2,13,11,4,5,21,5,1,2,2,2,4,6,5,3,9,5
89,2,3,2,3,1,9,13,5,4,16,3,3,3,1,2,3,2,3,4,12,3
91,,,,,2,18,13,4,4,9,4,2,2,2,2,5,4,3,3,7,3
89,2,2,1,1,2,12,10,4,5,12,4,2,3,3,2,5,4,4,3,9,5
91,3,1,2,2,2,15,11,4,4,16,4,2,3,2,1,5,5,3,1,9,5
90,4,1,4,2,3,15,13,5,4,16,4,3,3,3,3,6,6,5,4,9,5
90,4,3,2,2,2,15,7,5,6,20,5,1,3,2,2,4,5,3,1,9,5
80,3,1,3,3,1,12,12,5,4,11,2,2,3,2,2,5,6,4,3,9,2
87,,,,,2,11,11,5,6,13,3,3,2,3,2,4,5,2,3,9,5
95,3,1,2,3,2,21,21,5,6,36,5,2,2,2,2,7,6,5,4,9,5
95,4,3,2,3,3,9,13,5,6,12,5,3,3,3,3,7,6,5,4,9,5
94,3,2,3,3,3,9,10,4,4,6,5,3,3,2,2,7,4,2,4,9,5
93,2,1,2,3,2,15,15,5,6,20,4,2,3,2,2,7,6,5,3,9,1
94,2,2,3,3,2,20,12,5,5,15,5,3,2,2,2,5,6,3,4,10,5
94,2,2,2,3,2,9,12,5,4,15,4,2,3,3,2,6,6,2,4,5,3
90,2,2,2,2,2,11,14,3,5,21,5,3,3,2,2,7,6,5,4,9,5
91,4,3,3,2,2,20,18,3,4,32,5,3,3,3,3,7,6,5,4,9,5
90,2,1,2,3,3,9,14,4,4,32,4,2,3,3,2,5,4,3,3,4,5
91,2,3,2,3,2,18,18,5,6,17,5,3,3,2,2,5,6,4,4,9,5
95,2,3,2,2,2,13,12,4,6,8,5,3,3,2,2,7,6,3,4,9,5
93,,,,,2,9,20,3,4,25,3,1,3,3,3,7,4,4,4,5,5
93,2,3,2,3,3,11,13,5,6,20,4,2,3,3,2,4,4,3,4,9,5
90,3,1,2,3,3,13,10,5,6,10,5,3,3,2,2,7,6,5,4,11,5
87,2,1,2,3,2,10,13,5,6,16,5,3,3,2,2,7,6,3,4,9,3
91,4,1,3,3,2,12,12,5,6,9,5,2,3,2,2,7,5,4,4,9,5
93,4,2,3,3,2,9,11,5,5,12,5,3,3,3,2,7,6,3,4,9,5
82,2,2,2,2,2,13,11,4,6,15,3,2,3,2,2,5,5,2,0,9,5
95,2,2,2,3,2,13,11,5,5,17,5,3,3,3,2,5,4,1,4,9,5
90,3,2,3,3,3,11,11,3,5,12,4,3,3,2,2,6,5,2,3,9,3
92,3,3,3,3,2,12,15,5,6,16,5,,,,,,,,,,
90,3,1,2,3,3,13,14,5,6,12,5,3,3,3,3,7,6,5,4,9,5
93,2,1,2,3,3,13,13,5,6,12,5,3,3,3,3,6,5,4,4,9,5
87,4,3,3,3,3,14,13,4,6,16,5,2,3,3,3,6,6,3,4,9,5
94,3,1,3,2,2,18,20,4,6,36,5,2,2,2,2,7,6,4,4,9,5
88,2,2,1,2,2,7,11,3,6,18,5,3,3,2,2,6,3,2,1,12,5
92,3,2,3,3,2,13,12,5,6,9,5,3,3,3,2,6,4,3,4,9,5
84,,,,,2,9,10,5,5,9,5,3,3,3,3,7,6,5,0,4,5
92,2,3,2,2,3,11,12,5,5,27,5,3,3,2,2,7,6,4,4,9,5
92,4,1,3,1,2,5,5,4,1,25,5,3,2,2,3,7,6,5,4,11,5
86,5,4,4,2,3,12,14,5,6,14,4,3,3,2,3,7,6,5,0,9,5
95,3,3,2,2,2,15,13,5,6,16,4,3,3,2,3,7,5,4,4,9,5
91,3,1,2,3,3,20,19,5,6,15,5,3,3,3,2,6,6,3,4,9,5
92,3,2,2,2,3,13,11,4,5,17,5,2,3,3,2,1,2,2,4,9,5
94,3,2,3,3,2,15,14,5,6,23,5,3,3,3,3,6,6,5,4,9,5
96,4,1,3,3,3,14,11,5,6,18,5,3,3,3,3,3,2,2,4,9,5
83,,,,,1,15,11,3,3,13,5,3,3,2,2,5,5,3,2,11,5
90,,,,,2,13,12,4,6,16,4,3,3,2,2,7,4,2,2,9,3
92,3,2,3,2,2,13,11,5,5,27,5,2,3,3,3,5,6,5,4,9,5
93,3,3,2,3,2,13,12,5,6,10,5,3,3,2,2,1,3,2,4,11,3
90,3,2,2,2,2,6,14,5,6,13,4,1,3,2,2,6,6,4,4,9,3
93,3,2,2,3,3,12,17,5,5,12,5,3,3,3,2,6,6,3,4,9,5
92,2,2,2,2,2,13,6,4,6,36,4,3,3,2,2,6,4,2,4,4,5
92,2,2,2,3,3,12,12,4,6,18,4,,,,,,,,,,
85,2,1,2,3,2,6,6,3,1,5,5,2,3,2,2,7,6,5,4,15,3
92,2,3,2,3,2,13,14,5,6,14,4,3,3,2,2,7,6,4,2,9,5
91,2,1,2,3,2,15,15,3,6,14,4,2,3,2,3,7,5,4,4,9,3
92,1,1,1,2,2,20,14,4,5,13,5,3,3,3,3,5,6,3,4,9,5
84,3,1,3,3,2,14,13,4,6,10,4,,,,,,,,,,
93,2,3,2,1,2,12,12,1,6,16,3,2,3,1,3,7,6,3,4,9,5
93,4,2,4,3,3,10,14,5,6,36,5,2,3,2,3,7,6,5,4,9,5
94,3,3,3,2,3,12,15,5,4,14,5,3,3,3,2,7,6,5,4,9,3
89,,,,,3,11,9,3,4,17,4,2,3,2,2,5,3,2,4,7,2
91,2,2,2,3,2,12,9,4,5,18,5,3,3,2,2,7,4,1,4,4,3
90,2,2,2,3,2,13,13,5,3,12,4,2,2,3,3,6,4,4,3,9,5
95,5,3,3,3,2,12,11,4,5,15,4,2,2,2,2,3,3,3,4,9,5
78,3,1,2,2,2,13,13,5,5,10,5,2,3,2,2,7,6,3,4,9,5
92,2,1,2,3,2,15,12,3,4,16,4,3,3,3,2,5,6,4,3,14,5
95,2,2,2,3,3,19,15,4,6,9,5,2,3,3,2,6,6,3,4,12,3
94,2,2,2,3,2,12,12,4,3,15,5,2,3,2,2,7,6,5,4,11,5
88,2,1,2,3,3,9,14,4,6,12,5,3,3,3,1,7,5,2,4,11,3
94,3,2,3,3,2,15,15,5,6,21,5,3,3,3,2,7,6,5,4,9,5
93,2,1,2,2,3,11,11,5,6,17,5,3,3,3,2,7,6,5,4,9,5
93,2,2,2,2,3,13,18,5,6,15,5,3,3,3,3,7,4,4,3,12,5
94,3,2,3,2,3,13,15,3,5,10,4,2,3,2,2,7,6,5,3,9,5
79,3,3,1,3,2,13,12,4,5,17,5,3,3,3,2,7,6,5,3,12,5
94,4,2,4,3,3,15,13,1,6,18,5,2,1,3,3,7,6,5,4,6,5
89,3,1,3,3,3,18,18,4,5,19,4,3,3,3,2,6,6,4,4,9,5
96,2,1,2,3,2,13,15,4,6,20,4,2,3,2,2,6,5,3,1,9,5
93,2,2,4,2,2,11,13,3,5,13,5,2,3,3,2,7,6,3,3,12,5
95,2,2,1,2,2,6,9,2,6,13,3,2,3,3,2,7,6,3,4,12,3
94,2,3,1,3,2,14,11,5,6,34,5,3,3,2,3,7,6,5,4,9,5
94,3,1,3,2,3,14,15,3,6,9,5,2,3,3,2,7,6,5,3,14,3
94,5,1,3,3,3,12,13,5,6,14,5,2,3,3,3,3,4,3,4,9,5
95,2,1,2,3,3,10,15,5,6,18,5,3,3,3,2,7,3,2,3,5,5
89,3,2,3,2,3,3,13,5,6,15,5,3,3,3,2,7,6,5,4,9,5
94,4,1,2,3,2,6,7,3,2,6,3,2,3,2,2,4,4,4,2,4,3
93,6,2,1,3,2,11,14,5,6,12,5,3,3,3,2,7,6,5,3,9,5
92,3,1,2,3,3,18,11,5,5,18,4,3,3,3,2,5,6,5,3,9,3
92,2,1,2,3,2,9,13,3,4,6,5,1,3,2,2,7,6,5,3,4,3
61,1,1,1,2,2,15,12,4,3,21,5,2,2,3,1,3,3,2,3,5,5
87,,,,,1,6,3,4,1,12,4,3,3,2,2,3,1,1,2,9,3
89,,,,,2,11,14,4,3,16,4,3,3,3,2,7,4,2,2,12,5
83,2,2,2,2,,,,,,,,2,2,2,2,1,1,1,3,12,3
82,2,1,2,3,3,14,15,4,5,11,4,3,3,3,2,6,6,3,3,9,5
90,2,2,1,2,2,12,15,4,4,11,4,3,3,2,2,5,3,3,4,9,5
94,2,1,2,1,2,13,9,4,4,15,4,1,3,1,2,5,5,3,3,4,3
94,6,2,4,3,3,14,13,3,6,16,5,3,3,3,2,7,6,3,4,9,5
90,2,2,2,2,2,11,13,4,6,17,4,2,2,2,2,6,5,3,4,9,3
94,2,2,2,3,2,8,11,3,2,6,3,2,3,2,2,1,1,1,3,12,3
96,2,3,1,2,2,11,9,5,5,30,5,3,3,2,1,7,6,2,4,9,5
95,2,2,2,2,2,11,15,5,4,18,5,2,2,2,2,3,3,3,4,8,4
93,2,2,2,3,3,10,15,4,5,17,5,2,2,3,2,7,6,3,4,9,3
95,2,1,2,3,3,13,11,4,4,13,5,1,3,3,1,6,4,2,4,9,5
90,3,1,3,3,3,16,12,5,6,33,4,3,3,2,2,6,4,3,3,9,5
97,4,1,2,2,2,9,14,4,5,18,5,3,1,2,1,1,1,1,0,6,5
86,3,2,3,3,2,11,14,4,6,15,5,2,3,3,2,4,5,4,4,9,3
91,2,2,2,2,3,9,12,5,6,13,4,2,3,2,3,6,6,1,4,9,3
94,3,2,2,3,2,6,11,3,5,6,4,3,3,3,2,6,1,2,1,4,4
88,2,1,2,3,3,12,12,5,6,15,5,3,3,2,2,3,3,3,1,5,3
95,2,2,2,2,2,10,18,3,4,23,3,2,2,3,2,7,5,4,3,9,3
89,4,2,3,3,2,14,11,1,6,17,5,2,3,2,2,3,2,1,3,4,3
74,2,1,2,3,2,12,13,4,6,15,5,3,3,3,2,4,5,5,1,9,3
94,2,1,2,2,2,2,6,5,1,8,4,2,3,1,2,1,4,1,2,4,3
93,4,2,3,3,,,,,,,,2,3,2,2,2,5,2,4,7,5
95,3,2,3,3,2,13,15,5,5,17,5,3,3,2,2,7,6,5,4,9,3
95,3,3,2,2,2,14,8,5,6,8,5,2,2,2,1,5,6,1,4,9,5
92,2,2,2,2,2,10,13,4,5,11,5,3,3,3,1,6,6,3,3,9,5
90,2,2,2,3,3,13,12,4,4,12,5,3,3,2,2,5,6,3,1,6,5
