score,Pr1,Pr2,Pr3,Pr4,Mi1,Mi2,Mi3,Mi4,Mi5,Mi6,Mi7,Po1,Po2,Po3,Po4,Po5,Po6,Po7,Po8,Po9,Po10
68,3,3,4,3,,,,,,,,3,1,1,1,7,5,4,4,15,2
94,5,2,2,3,3,9,9,5,6,11,5,3,3,3,2,7,6,4,4,9,5
92,6,1,4,3,3,15,14,5,6,16,5,,,,,,,,,,
90,6,3,3,2,3,10,9,5,6,14,5,2,3,2,3,7,6,5,4,11,5
96,3,3,2,2,2,10,12,4,6,12,5,,,,,,,,,,
87,2,1,2,2,,,,,,,,2,2,2,2,4,6,4,2,9,3
94,3,1,3,3,,,,,,,,3,3,3,2,6,6,4,3,9,5
94,4,4,1,1,2,12,13,3,6,12,5,3,3,2,2,7,5,2,4,11,3
92,4,1,2,3,,,,,,,,3,3,2,2,6,5,2,3,9,3
71,3,1,2,3,2,9,12,3,3,6,2,2,2,3,1,1,4,2,3,4,3
75,,,,,2,13,11,4,5,8,3,2,3,2,2,7,6,5,3,12,5
84,2,1,2,2,3,13,13,3,5,20,3,3,3,3,2,6,6,4,4,9,5
94,4,4,2,2,2,15,13,2,5,25,5,3,3,2,2,4,4,3,4,9,3
96,5,3,2,1,2,8,13,3,6,8,5,3,3,2,2,3,6,4,4,12,3
96,5,3,3,2,3,12,12,5,6,13,5,3,3,3,3,7,6,5,4,9,5
90,3,3,3,3,2,9,12,5,6,14,5,3,3,3,2,6,6,3,4,9,5
96,4,1,2,3,3,13,20,3,6,21,5,3,3,3,3,3,6,5,4,11,9
88,2,2,2,2,,,,,,,,2,3,3,2,7,6,5,3,9,5
96,6,4,3,3,3,11,9,4,6,14,5,3,1,2,2,7,5,4,4,12,3
90,3,2,2,3,3,13,13,4,6,11,5,3,2,2,2,5,5,3,4,9,1
88,4,3,2,1,2,9,12,4,6,8,3,,,,,,,,,,
93,6,1,2,2,2,6,11,4,6,12,5,2,3,2,3,2,3,3,4,11,5
92,4,3,2,3,2,12,13,3,6,16,5,3,3,2,2,7,6,4,4,11,5
94,6,3,3,3,2,13,13,5,5,12,5,3,3,3,3,3,3,2,3,4,5
94,5,3,2,2,2,6,11,5,6,15,4,,,,,,,,,,
93,4,2,2,3,2,15,13,5,4,16,5,3,2,2,3,7,6,5,3,14,5
93,4,3,1,1,1,15,12,5,6,17,5,2,2,3,2,3,3,2,3,9,3
89,4,1,2,2,2,10,13,5,3,12,5,2,2,2,2,3,5,4,2,9,5
93,5,2,2,3,3,13,12,5,5,16,4,3,2,3,3,7,6,3,4,9,5
93,5,2,3,2,3,15,15,5,5,15,3,2,2,3,3,7,5,2,2,9,5
91,4,3,3,3,3,15,12,4,4,15,4,3,3,3,3,5,5,3,3,9,5
95,3,3,2,3,2,10,14,4,5,16,5,3,2,1,2,3,3,2,4,7,3
94,4,2,3,2,2,13,11,4,5,15,4,3,3,3,3,7,4,3,3,9,5
95,3,3,2,2,2,15,15,5,4,16,2,3,3,2,2,2,3,3,4,9,3
94,5,3,3,2,2,15,12,5,6,15,4,2,2,2,2,3,4,3,4,9,5
89,3,2,3,2,2,14,11,5,6,9,4,,,,,,,,,,
93,3,2,2,2,2,15,9,5,4,15,4,3,2,2,3,6,3,2,3,9,5
93,6,3,4,1,2,15,13,5,5,11,4,3,3,2,3,5,4,3,4,12,5
86,4,2,3,3,3,7,6,5,4,9,2,3,3,3,2,3,1,3,4,9,3
92,4,3,3,3,2,10,13,3,5,12,3,3,1,2,2,7,6,5,4,9,3
93,3,3,2,1,2,15,18,4,3,27,5,3,3,2,3,5,6,2,4,9,5
97,5,3,3,3,3,11,13,4,5,16,5,2,3,3,3,4,3,3,4,9,3
95,3,3,3,2,2,11,11,5,5,18,5,3,3,2,3,6,5,3,4,9,5
95,4,3,3,2,2,9,11,5,6,21,5,2,3,2,2,3,3,2,0,9,5
92,4,2,2,3,2,15,12,5,5,18,3,,,,,,,,,,
91,2,2,2,1,3,15,10,5,6,36,4,3,3,3,3,3,5,2,4,9,5
94,4,2,2,3,2,13,14,4,5,16,5,3,2,2,3,6,4,2,2,9,5
93,5,2,3,2,3,14,12,5,5,21,5,2,3,3,2,4,6,3,4,11,5
93,3,3,2,2,2,14,12,4,4,16,5,3,3,2,3,4,5,2,4,9,5
93,4,1,2,3,2,13,12,4,5,10,3,1,2,2,2,5,6,3,3,9,5
91,4,3,2,2,2,11,11,5,4,16,4,2,3,2,2,4,5,3,3,9,3
81,6,2,2,3,3,15,12,5,5,15,5,2,3,2,1,1,1,1,3,9,5
93,5,2,4,3,2,11,11,5,4,10,4,3,2,2,2,4,3,3,3,9,5
93,3,2,3,2,3,12,10,5,5,19,5,3,3,2,3,4,4,3,3,9,4
91,2,3,2,1,2,15,9,4,3,12,2,1,2,2,2,2,2,2,3,9,5
90,4,2,2,2,2,13,13,5,5,15,3,3,2,2,2,6,3,2,4,9,3
91,5,2,2,3,2,11,11,5,5,11,5,3,3,2,3,5,2,1,4,2,5
90,4,3,3,3,2,8,11,5,5,16,5,,,,,,,,,,
91,2,2,2,1,1,9,7,5,4,11,3,2,3,2,2,3,5,2,1,9,5
81,3,2,3,3,2,8,9,5,2,13,3,,,,,,,,,,
91,4,3,3,2,2,14,12,5,5,12,5,3,3,2,3,3,4,3,4,6,5
90,4,2,3,3,3,18,11,5,3,19,4,3,3,3,2,5,2,2,4,9,5
92,3,1,2,2,1,13,11,5,6,15,5,2,3,2,2,6,3,2,4,9,5
93,2,3,2,3,2,7,12,5,4,27,4,3,3,3,2,3,5,3,4,9,5
93,5,3,3,3,2,8,11,5,2,6,5,3,3,2,2,5,5,3,4,9,5
92,4,2,2,3,2,14,12,4,6,16,4,3,3,3,3,3,4,2,3,4,5
92,5,2,3,3,2,15,7,5,5,16,4,2,2,2,2,5,5,5,1,9,5
95,3,3,3,3,3,9,11,5,5,13,5,3,3,2,2,2,2,2,2,5,3
94,4,3,3,1,2,13,6,4,4,12,4,3,3,2,3,4,3,2,4,9,5
91,3,2,2,2,3,15,10,5,3,16,3,2,3,3,2,4,4,3,4,9,5
94,4,2,2,2,1,15,15,5,4,13,5,3,2,2,2,7,6,4,4,9,5
93,5,1,2,2,2,13,15,5,5,13,4,1,2,2,2,4,6,5,4,9,5
94,5,3,2,2,2,15,15,2,4,18,5,3,2,2,1,5,4,2,4,9,5
94,5,2,3,3,2,9,9,5,6,16,5,3,3,2,3,7,4,5,4,12,3
92,3,1,3,2,2,14,14,5,4,15,4,1,3,2,2,6,3,2,3,9,5
90,2,2,2,3,2,13,13,5,4,26,5,2,3,3,2,6,4,5,1,14,5
93,3,2,3,1,2,21,15,5,4,26,5,3,3,2,1,7,6,5,4,11,5
94,4,3,3,3,3,21,18,5,5,18,2,3,3,3,3,5,6,3,4,9,5
87,2,1,1,2,2,13,18,5,5,10,4,,,,,,,,,,
91,,,,,2,3,11,5,4,6,2,3,2,1,3,6,4,2,3,11,5
92,,,,,1,10,2,5,2,9,3,2,3,2,2,2,3,2,4,9,5
89,3,2,3,3,2,13,12,5,6,6,5,3,2,2,3,7,6,4,0,9,5
92,5,2,3,3,2,14,13,4,4,11,4,3,3,2,2,3,4,2,3,9,5
82,3,1,2,3,3,16,15,5,4,27,5,,,,,,,,,,
98,3,1,1,2,2,18,10,5,6,16,5,,,,,,,,,,
94,4,3,3,1,3,21,12,5,5,15,5,3,3,3,2,3,5,2,4,12,3
80,4,1,3,3,,,,,,,,2,3,3,3,2,5,4,4,9,5
95,4,1,3,3,3,15,10,5,6,18,5,3,3,3,3,3,3,3,2,9,5
95,4,3,2,3,3,13,11,5,6,16,5,3,3,2,3,7,6,5,4,9,5
97,,,,,2,11,14,4,6,15,5,2,2,2,2,3,4,3,4,9,5
99,2,2,2,2,2,11,13,5,4,18,5,,,,,,,,,,
94,2,2,2,1,2,13,13,4,6,6,3,,,,,,,,,,
99,6,4,2,3,3,13,13,5,6,16,5,2,3,3,2,1,6,3,4,9,3
97,5,2,3,3,2,14,14,4,4,16,5,2,3,3,2,6,5,2,2,12,2
82,3,1,2,3,1,21,12,4,5,13,3,,,,,,,,,,
94,4,3,3,2,2,10,13,4,6,19,4,3,3,2,2,7,6,3,4,9,3
84,,,,,3,5,5,5,1,15,4,3,3,3,3,7,6,5,3,9,5
95,3,3,3,2,2,15,14,3,6,18,3,3,2,3,2,3,5,2,3,15,3
97,3,2,2,3,2,12,12,4,5,10,4,3,3,3,2,7,6,3,3,9,3
99,,,,,3,15,12,5,6,28,5,2,3,3,2,7,6,5,4,15,5
95,,,,,2,13,9,5,6,12,5,3,2,2,2,5,6,3,4,9,5
88,,,,,2,10,14,5,4,24,4,2,3,2,1,3,4,4,3,5,3
95,,,,,2,12,13,1,6,15,2,3,3,2,1,3,5,4,4,9,5
97,5,2,2,3,2,13,13,4,4,18,5,,,,,,,,,,
97,4,4,2,3,3,15,14,5,4,11,5,3,3,3,2,6,5,3,4,9,5
97,4,2,3,3,3,14,13,4,6,12,5,3,3,2,2,7,6,2,4,12,3
96,6,4,2,3,2,15,12,5,6,14,5,3,3,1,3,2,3,3,3,9,5
98,6,4,2,2,3,12,12,3,4,16,5,3,3,3,2,6,4,3,4,9,5
96,3,3,3,1,3,15,12,5,4,16,5,2,3,3,2,4,3,3,3,12,5
97,5,3,3,2,2,14,9,5,5,16,5,1,3,2,3,4,2,1,4,9,5
